AACG,05-Aug-2022,1.81,1.9351,1.6,1.8505,123400
AADI,05-Aug-2022,13.96,14.35,13.78,14.2,83400
AADR,05-Aug-2022,50.65,51.13,50.58,51.13,3800
AAL,05-Aug-2022,14.62,14.98,14.61,14.74,19503800
AAME,05-Aug-2022,2.9038,3.0499,2.82,2.95,3100
AAOI,05-Aug-2022,1.93,1.95,1.81,1.86,255300
AAON,05-Aug-2022,62.21,62.22,60.92,61.64,102400
AAPL,05-Aug-2022,163.21,165.85,163,165.35,56696900
AATC,05-Aug-2022,4.95,5.0579,4.8371,5.04,2500
AAWW,05-Aug-2022,99.65,99.84,99.3,99.65,3756700
AAXJ,05-Aug-2022,67.87,68.26,67.76,68.16,521300
ABCB,05-Aug-2022,46.82,47.6,43.9001,47.27,255000
ABCL,05-Aug-2022,11.12,11.655,10.87,11.32,1661000
ABCM,05-Aug-2022,15.09,15.17,14.86,14.99,202900
ABEO,05-Aug-2022,4.2,4.4199,4.1,4.2,488000
ABIO,05-Aug-2022,2.32,2.36,2.28,2.36,36300
ABMD,05-Aug-2022,287.69,293,284.85,291.5,237300
ABNB,05-Aug-2022,115.52,118.8699,114.82,117.11,6494900
ABOS,05-Aug-2022,5.125,5.4378,5.01,5.22,36400
ABSI,05-Aug-2022,3.6,3.85,3.53,3.71,376000
ABST,05-Aug-2022,9.7,9.97,9.61,9.96,51000
ABTX,05-Aug-2022,43.79,44.12,43.41,43.9,70400
ABUS,05-Aug-2022,2.5,2.56,2.4508,2.53,965800
ABVC,05-Aug-2022,0.67,0.7,0.62,0.6342,94600
ACAB,05-Aug-2022,10,10,10,10,30500
ACACU,05-Aug-2022,10,10,10,10,900
ACACW,05-Aug-2022,0.06,0.0752,0.06,0.075,113000
ACAD,05-Aug-2022,15.21,16.97,14.95,16.44,4046200
ACAXU,05-Aug-2022,9.99,10.01,9.99,10.01,800
ACAXW,05-Aug-2022,0.0626,0.0626,0.0625,0.0625,300
ACB,05-Aug-2022,1.49,1.54,1.43,1.5,7133400
ACBAW,05-Aug-2022,0.1232,0.1232,0.0775,0.0782,1300
ACCD,05-Aug-2022,11.1,11.71,10.58,11.61,663600
ACER,05-Aug-2022,1.45,1.54,1.36,1.44,186500
ACET,05-Aug-2022,17.92,19.305,17.59,18.74,322300
ACEV,05-Aug-2022,10.22,10.24,10.22,10.24,6100
ACEVW,05-Aug-2022,0.1779,0.185,0.17,0.1703,2500
ACGL,05-Aug-2022,43.54,44.055,43.45,43.81,1236500
ACGLN,05-Aug-2022,21.61,21.78,21.24,21.35,75200
